hardware,device,gpu_name,ram_gb,high_ram,model,config,loss,loss_used,co2_kg,time_s,ndcg@5,ndcg@10,recall@5,recall@10,mrr@5,mrr@10,precision@5,precision@10,hit@5,hit@10,map@5,map@10
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_BPR_r1,BPR,BPR,6.53450270318295e-05,12.27,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_BPR_r2,BPR,BPR,3.492055757033023e-05,2.83,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_BPR_r3,BPR,BPR,2.8319844551104745e-05,2.71,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_BPR_r4,BPR,BPR,3.966609525678563e-05,3.11,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_BPR_r5,BPR,BPR,2.5228932871522048e-05,2.54,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_BPR_r6,BPR,BPR,2.5276658081597408e-05,2.22,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_CE_r1,CE,CE,4.957529198203256e-05,3.71,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_CE_r2,CE,CE,3.4672905729136645e-05,3.09,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_CE_r3,CE,CE,2.834066175431293e-05,2.71,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_CE_r4,CE,CE,3.913199991721004e-05,3.04,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_CE_r5,CE,CE,2.5189859264479663e-05,2.21,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_CE_r6,CE,CE,2.552784546418877e-05,2.53,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_MSE_r1,MSE,MSE,5.037478513885859e-05,4.01,0.1635,0.1606,0.0852,0.1292,0.2926,0.3087,0.1406,0.1144,0.4592,0.5822,0.1025,0.0842
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_MSE_r2,MSE,MSE,3.546417640613324e-05,2.82,0.0522,0.0504,0.0181,0.0314,0.1038,0.1139,0.0498,0.0439,0.1888,0.2662,0.0285,0.0211
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_MSE_r3,MSE,MSE,2.8210796159920776e-05,2.37,0.1412,0.1407,0.0584,0.107,0.2496,0.2688,0.1262,0.1085,0.386,0.5292,0.0907,0.0726
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_MSE_r4,MSE,MSE,3.960986201861759e-05,3.43,0.1564,0.149,0.0633,0.1008,0.2765,0.2911,0.1364,0.1127,0.4019,0.5101,0.1028,0.0807
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_MSE_r5,MSE,MSE,2.590682725202459e-05,2.54,0.0964,0.0961,0.0346,0.065,0.181,0.1958,0.0899,0.0814,0.3022,0.4157,0.0572,0.045
A100_GPU_HighRAM,cuda,NVIDIA A100-SXM4-40GB,83,True,BPR,BPR_MSE_r6,MSE,MSE,2.477549316298309e-05,2.17,0.0147,0.0141,0.0068,0.0108,0.031,0.0358,0.0142,0.0112,0.0657,0.1029,0.007,0.0051
